id,type,fpAreas,Longitude,Latitude,geometry,Occupancy,YearBuilt,NFloors
67,Building,126,-65.87877262144093,18.43077860543106,"POLYGON ((-65.8788415 18.430747, -65.8788219 18.4308342, -65.8787037 18.4308102, -65.8787234 18.430723, -65.8788415 18.430747))",,,
68,Building,183,-65.87862089654404,18.43049189231749,"POLYGON ((-65.8787026 18.4304596, -65.8786849 18.4305636, -65.8785362 18.43052, -65.8785575 18.4304226, -65.8787026 18.4304596))",,,
69,Building,137,-65.87858718777609,18.430616270981666,"POLYGON ((-65.8786638 18.4305891, -65.878643 18.4306729, -65.8785106 18.4306435, -65.8785314 18.4305596, -65.8786638 18.4305891))",,,
70,Building,135,-65.87855332975174,18.43073732064219,"POLYGON ((-65.878618 18.4307022, -65.878612 18.4307322, -65.8786224 18.4307341, -65.8786106 18.4307928, -65.8784819 18.4307695, -65.8784997 18.4306808, -65.878618 18.4307022))",,,
71,Building,200,-65.8785478216813,18.43085105530849,"POLYGON ((-65.8786349 18.4308111, -65.8786129 18.430919, -65.8784607 18.430891, -65.8784828 18.4307831, -65.8786349 18.4308111))",,,
72,Building,176,-65.87871194991239,18.431099099998598,"POLYGON ((-65.8788 18.4310686, -65.8787791 18.4311612, -65.8786239 18.4311296, -65.8786448 18.431037, -65.8788 18.4310686))",,,
73,Building,80,-65.87849693066035,18.43095588652688,"POLYGON ((-65.8785646 18.4309397, -65.8785539 18.4309934, -65.8784265 18.4309699, -65.8784407 18.4309196, -65.8785646 18.4309397))",,,
74,Building,123,-65.878457705957,18.431144346608296,"POLYGON ((-65.8785185 18.4311076, -65.8785079 18.4311982, -65.8783982 18.4311848, -65.8784088 18.4310874, -65.8785185 18.4311076))",,,
75,Building,99,-65.87867378640868,18.431214934463906,"POLYGON ((-65.8787486 18.4311949, -65.878738 18.4312452, -65.8786098 18.4312507, -65.8786176 18.4311714, -65.8787486 18.4311949))",,,
76,Building,94,-65.87843415855691,18.43125649732125,"POLYGON ((-65.8785009 18.4312385, -65.8784973 18.4312956, -65.8783734 18.4312822, -65.8783734 18.4312117, -65.8785009 18.4312385))",,,
77,Building,138,-65.87840108326661,18.43136718061436,"POLYGON ((-65.8784761 18.4313393, -65.8784761 18.4314165, -65.8783239 18.4313963, -65.878331 18.4313158, -65.8784761 18.4313393))",,,
78,Building,189,-65.87838938884182,18.431456845786805,"POLYGON ((-65.8784761 18.4314165, -65.8784548 18.4315239, -65.8782956 18.431487, -65.8783239 18.4313963, -65.8784761 18.4314165))",,,
79,Building,190,-65.87836272240027,18.431570853370463,"POLYGON ((-65.8784548 18.4315239, -65.878423 18.4316314, -65.8782779 18.4316146, -65.8782885 18.4315172, -65.8784548 18.4315239))",,,
80,Building,133,-65.87937835796554,18.43175165009938,"POLYGON ((-65.8794354 18.4317777, -65.8794277 18.4318096, -65.8794171 18.4318073, -65.8793074 18.4317836, -65.879329 18.4316937, -65.8794493 18.4317197, -65.8794354 18.4317777))",,,
81,Building,186,-65.87942692241862,18.431526169605878,"POLYGON ((-65.8794918 18.4315877, -65.879329 18.4315542, -65.8793609 18.4314635, -65.8795272 18.4315004, -65.8794918 18.4315877))",,,
82,Building,149,-65.8782767852994,18.430589002989745,"POLYGON ((-65.8783451 18.4305469, -65.878331 18.4306509, -65.8782071 18.4306274, -65.8782213 18.4305301, -65.8783451 18.4305469))",,,
83,Building,175,-65.87825890523204,18.430698337642482,"POLYGON ((-65.878331 18.4306509, -65.8783062 18.4307718, -65.8781894 18.430745, -65.8782071 18.4306274, -65.878331 18.4306509))",,,
84,Building,206,-65.87821631487844,18.4308096428873,"POLYGON ((-65.8783062 18.4307718, -65.8782885 18.4308759, -65.8781257 18.430849, -65.8781469 18.4307416, -65.8783062 18.4307718))",,,
85,Building,194,-65.8782029120423,18.430915531421288,"POLYGON ((-65.8782885 18.4308759, -65.8782637 18.4309867, -65.8781292 18.4309565, -65.8781257 18.430849, -65.8782885 18.4308759))",,,
86,Building,136,-65.87818818508278,18.431059535679903,"POLYGON ((-65.8782566 18.431027, -65.878246 18.431121, -65.8781986 18.4311076, -65.8781151 18.4310841, -65.8781292 18.4310035, -65.8782566 18.431027))",,,
87,Building,98,-65.87814072896795,18.431139713487603,"POLYGON ((-65.8781859 18.4311882, -65.8780938 18.4311747, -65.8780832 18.4310942, -65.8781986 18.4311076, -65.8781859 18.4311882))",,,
88,Building,121,-65.87811482596226,18.431265981222815,"POLYGON ((-65.8781929 18.431252, -65.8781859 18.4313158, -65.8780372 18.4312855, -65.8780514 18.4312117, -65.8781929 18.431252))",,,
89,Building,818,-65.87627020393252,18.430435157363387,"POLYGON ((-65.8764756 18.4304987, -65.8765116 18.4303414, -65.8761631 18.4302696, -65.8760867 18.4306036, -65.8762634 18.4306399, -65.8762845 18.4305478, -65.8762017 18.4305308, -65.8762394 18.4303661, -65.8763956 18.4303982, -65.8763772 18.4304785, -65.8764756 18.4304987))",,,
90,Building,149,-65.87609291616438,18.430915329070228,"POLYGON ((-65.8761638 18.4309694, -65.8761806 18.4308923, -65.876022 18.4308613, -65.8760052 18.4309383, -65.8761638 18.4309694))",,,
91,Building,155,-65.87954248574776,18.431815498522653,"POLYGON ((-65.879582 18.4318934, -65.8796045 18.4318224, -65.8795724 18.4318132, -65.8795924 18.4317501, -65.879519 18.4317292, -65.8794765 18.4318634, -65.879582 18.4318934))",Other,1960.0,1.0
92,Building,115,-65.87972614985915,18.431966449963053,"POLYGON ((-65.8797956 18.4320266, -65.8798196 18.4319764, -65.8796567 18.4319063, -65.8796327 18.4319565, -65.8797956 18.4320266))",Other,1960.0,3.0
93,Building,85,-65.87974568688598,18.431895510996707,"POLYGON ((-65.8798246 18.4319498, -65.8798411 18.4319148, -65.8796722 18.4318431, -65.8796453 18.4318737, -65.8798246 18.4319498))",Other,1960.0,1.0
94,Building,99,-65.87984813970195,18.43182971893971,"POLYGON ((-65.8799153 18.4318148, -65.8798868 18.4318839, -65.879781 18.4318447, -65.8798095 18.4317755, -65.8799153 18.4318148))",Other,1960.0,1.0
95,Building,109,-65.87973315000298,18.431792349994293,"POLYGON ((-65.8797935 18.4317569, -65.8797566 18.4318559, -65.8796728 18.4318278, -65.8797097 18.4317288, -65.8797935 18.4317569))",Other,1960.0,1.0
96,Building,44,-65.87965234999989,18.431731649995857,"POLYGON ((-65.8796909 18.4317095, -65.8796692 18.4317713, -65.8796138 18.4317538, -65.8796355 18.431692, -65.8796909 18.4317095))",Other,1960.0,1.0
97,Building,143,-65.87988419705991,18.431666030976594,"POLYGON ((-65.8799743 18.4316591, -65.8798231 18.4316028, -65.8797941 18.4316729, -65.8799452 18.4317293, -65.8799743 18.4316591))",Other,1960.0,2.0
98,Building,146,-65.87962901550684,18.431614929530046,"POLYGON ((-65.8796965 18.4316706, -65.8795424 18.431636, -65.8795615 18.4315593, -65.8797156 18.4315938, -65.8796965 18.4316706))",Other,1960.0,2.0
99,Building,82,-65.879669849932,18.43154299999456,"POLYGON ((-65.8796162 18.4314998, -65.8796002 18.4315525, -65.8797235 18.4315862, -65.8797395 18.4315335, -65.8796162 18.4314998))",Other,1960.0,2.0
100,Building,57,-65.87985919998607,18.431567749994908,"POLYGON ((-65.8798862 18.431609, -65.8798121 18.4315866, -65.8798322 18.4315265, -65.8799063 18.4315489, -65.8798862 18.431609))",Other,1985.0,1.0
101,Building,93,-65.87988601907756,18.431474505019786,"POLYGON ((-65.8799131 18.4315305, -65.8798251 18.431496, -65.879859 18.4314185, -65.8799469 18.431453, -65.8799131 18.4315305))",Other,1960.0,1.0
102,Building,167,-65.87931326432047,18.432031348087925,"POLYGON ((-65.8793683 18.4320981, -65.8793919 18.4320246, -65.879364 18.4320164, -65.879364 18.4319858, -65.8792629 18.4319572, -65.8792413 18.4320715, -65.8793683 18.4320981))",,,
103,Building,143,-65.87943555004752,18.432103150008032,"POLYGON ((-65.8794405 18.4321869, -65.8793657 18.4321546, -65.8794306 18.4320194, -65.8795054 18.4320517, -65.8794405 18.4321869))",Other,1960.0,2.0
104,Building,138,-65.8793163999812,18.432207449995495,"POLYGON ((-65.8793951 18.4322107, -65.8793217 18.4321329, -65.8792377 18.4322042, -65.8793111 18.432282, -65.8793951 18.4322107))",,,
105,Building,176,-65.87861130001042,18.432040950010965,"POLYGON ((-65.8786964 18.4320099, -65.8786056 18.4319547, -65.8785262 18.432072, -65.878617 18.4321272, -65.8786964 18.4320099))",,,
106,Building,184,-65.87901059997387,18.431872199989346,"POLYGON ((-65.8790603 18.4319445, -65.8790871 18.4318255, -65.8789609 18.4317999, -65.8789341 18.4319189, -65.8790603 18.4319445))",,,
107,Building,202,-65.87826929999761,18.431847200003308,"POLYGON ((-65.8783602 18.4318173, -65.8782556 18.4317569, -65.8781784 18.4318771, -65.878283 18.4319375, -65.8783602 18.4318173))",,,
108,Building,99,-65.87850461828889,18.43197123984948,"POLYGON ((-65.8785675 18.431944, -65.8785001 18.4319058, -65.8784417 18.4319984, -65.8785092 18.4320367, -65.8785675 18.431944))",,,
109,Building,132,-65.87848051127825,18.431033379526472,"POLYGON ((-65.8785315 18.4310913, -65.8785555 18.4310082, -65.8784295 18.4309755, -65.8784055 18.4310585, -65.8785315 18.4310913))",,,
