             0	(   9.000000e-01   0.000000e+00  2.492867e-01) 
0	(   9.000000e-01   0.000000e+00  2.492867e-01) 
0.005	(   9.000000e-01   0.000000e+00  2.492867e-01) 
0.005	(   9.000000e-01   0.000000e+00  2.492867e-01) 
0.01	(   9.000000e-01   0.000000e+00  2.492868e-01) 
0.01	(   9.000000e-01   0.000000e+00  2.492868e-01) 
0.015	(   9.000000e-01   0.000000e+00  2.492868e-01) 
0.015	(   9.000000e-01   0.000000e+00  2.492868e-01) 
0.02	(   9.000000e-01   0.000000e+00  2.492868e-01) 
0.02	(   9.000000e-01   0.000000e+00  2.492868e-01) 
0.025	(   9.000000e-01   0.000000e+00  2.492869e-01) 
0.025	(   9.000000e-01   0.000000e+00  2.492869e-01) 
0.03	(   9.000000e-01   0.000000e+00  2.492870e-01) 
0.03	(   9.000000e-01   0.000000e+00  2.492870e-01) 
0.035	(   9.000000e-01   0.000000e+00  2.492871e-01) 
0.035	(   9.000000e-01   0.000000e+00  2.492871e-01) 
0.04	(   9.000000e-01   0.000000e+00  2.492872e-01) 
0.04	(   9.000000e-01   0.000000e+00  2.492872e-01) 
0.045	(   9.000000e-01   0.000000e+00  2.492874e-01) 
0.045	(   9.000000e-01   0.000000e+00  2.492874e-01) 
0.05	(   9.000000e-01   0.000000e+00  2.492875e-01) 
0.05	(   9.000000e-01   0.000000e+00  2.492875e-01) 
0.055	(   9.000000e-01   0.000000e+00  2.492877e-01) 
0.055	(   9.000000e-01   0.000000e+00  2.492877e-01) 
0.06	(   9.000000e-01   0.000000e+00  2.492879e-01) 
0.06	(   9.000000e-01   0.000000e+00  2.492879e-01) 
0.065	(   9.000000e-01   0.000000e+00  2.492881e-01) 
0.065	(   9.000000e-01   0.000000e+00  2.492881e-01) 
0.07	(   9.000000e-01   0.000000e+00  2.492884e-01) 
0.07	(   9.000000e-01   0.000000e+00  2.492884e-01) 
0.075	(   9.000000e-01   0.000000e+00  2.492887e-01) 
0.075	(   9.000000e-01   0.000000e+00  2.492887e-01) 
0.08	(   9.000000e-01   0.000000e+00  2.492890e-01) 
0.08	(   9.000000e-01   0.000000e+00  2.492890e-01) 
0.085	(   9.000000e-01   0.000000e+00  2.492893e-01) 
0.085	(   9.000000e-01   0.000000e+00  2.492893e-01) 
0.09	(   9.000000e-01   0.000000e+00  2.492897e-01) 
0.09	(   9.000000e-01   0.000000e+00  2.492897e-01) 
0.09	(   9.000000e-01   0.000000e+00  2.492897e-01) 
0.095	(   9.000000e-01   0.000000e+00  2.492901e-01) 
0.095	(   9.000000e-01   0.000000e+00  2.492901e-01) 
0.095	(   9.000000e-01   0.000000e+00  2.492901e-01) 
0.1	(   9.000000e-01   0.000000e+00  2.492905e-01) 
0.1	(   9.000000e-01   0.000000e+00  2.492905e-01) 
0.1	(   9.000000e-01   0.000000e+00  2.492905e-01) 
0.105	(   9.000000e-01   0.000000e+00  2.492910e-01) 
0.105	(   9.000000e-01   0.000000e+00  2.492910e-01) 
0.105	(   9.000000e-01   0.000000e+00  2.492910e-01) 
0.11	(   9.000000e-01   0.000000e+00  2.492915e-01) 
0.11	(   9.000000e-01   0.000000e+00  2.492915e-01) 
0.115	(   9.000000e-01   0.000000e+00  2.492920e-01) 
0.115	(   9.000000e-01   0.000000e+00  2.492920e-01) 
0.12	(   9.000000e-01   0.000000e+00  2.492926e-01) 
0.12	(   9.000000e-01   0.000000e+00  2.492926e-01) 
0.125	(   9.000000e-01   0.000000e+00  2.492932e-01) 
0.125	(   9.000000e-01   0.000000e+00  2.492932e-01) 
0.13	(   9.000000e-01   0.000000e+00  2.492939e-01) 
0.13	(   9.000000e-01   0.000000e+00  2.492939e-01) 
0.135	(   9.000000e-01   0.000000e+00  2.492947e-01) 
0.135	(   9.000000e-01   0.000000e+00  2.492947e-01) 
0.14	(   9.000000e-01   0.000000e+00  2.492954e-01) 
0.14	(   9.000000e-01   0.000000e+00  2.492954e-01) 
0.145	(   9.000000e-01   0.000000e+00  2.492963e-01) 
0.145	(   9.000000e-01   0.000000e+00  2.492963e-01) 
0.15	(   9.000000e-01   0.000000e+00  2.492972e-01) 
0.15	(   9.000000e-01   0.000000e+00  2.492972e-01) 
0.155	(   9.000000e-01   0.000000e+00  2.492982e-01) 
0.155	(   9.000000e-01   0.000000e+00  2.492982e-01) 
0.16	(   9.000000e-01   0.000000e+00  2.492992e-01) 
0.16	(   9.000000e-01   0.000000e+00  2.492992e-01) 
0.165	(   9.000000e-01   0.000000e+00  2.493003e-01) 
0.165	(   9.000000e-01   0.000000e+00  2.493003e-01) 
0.17	(   9.000000e-01   0.000000e+00  2.493015e-01) 
0.17	(   9.000000e-01   0.000000e+00  2.493015e-01) 
0.175	(   9.000000e-01   0.000000e+00  2.493027e-01) 
0.175	(   9.000000e-01   0.000000e+00  2.493027e-01) 
0.18	(   9.000000e-01   0.000000e+00  2.493041e-01) 
0.18	(   9.000000e-01   0.000000e+00  2.493041e-01) 
0.185	(   9.000000e-01   0.000000e+00  2.493055e-01) 
0.185	(   9.000000e-01   0.000000e+00  2.493055e-01) 
0.19	(   9.000000e-01   0.000000e+00  2.493070e-01) 
0.19	(   9.000000e-01   0.000000e+00  2.493070e-01) 
0.195	(   9.000000e-01   0.000000e+00  2.493086e-01) 
0.195	(   9.000000e-01   0.000000e+00  2.493086e-01) 
0.195	(   9.000000e-01   0.000000e+00  2.493086e-01) 
0.2	(   9.000000e-01   0.000000e+00  2.493103e-01) 
0.2	(   9.000000e-01   0.000000e+00  2.493103e-01) 
