Run #, fc, fy, E, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1
70, 6.98655, 55.5586, 32150.2, 11.8139, 0.121607, 0.0317256, 0.000220316
71, 5.86973, 64.6006, 23196.5, 12.5924, 0.135793, 0.0343654, 0.000238649
72, 5.5587, 59.1467, 32049.9, 12.4225, 0.132004, 0.0336978, 0.000234013
73, 5.6158, 55.0451, 33575, 11.7694, 0.122588, 0.0334265, 0.000232129
74, 4.98494, 60.8859, 30945.4, 12.1679, 0.128539, 0.0346891, 0.000240896
75, 6.30502, 62.8941, 35429.5, 12.3712, 0.131885, 0.0322515, 0.000223969
76, 6.06117, 60.5182, 31489.3, 12.629, 0.135189, 0.0330525, 0.000229532
77, 6.48887, 53.5285, 28896.8, 12.314, 0.131335, 0.0327703, 0.000227572
78, 5.01282, 58.9524, 28835.1, 12.3982, 0.132731, 0.034925, 0.000242534
79, 6.05406, 60.3694, 31058, 12.3168, 0.131688, 0.0331148, 0.000229964
80, 6.0224, 54.9095, 31802.3, 12.1915, 0.12935, 0.0330689, 0.000229645
81, 5.23898, 64.0623, 32532.9, 11.7092, 0.122268, 0.0341036, 0.00023683
82, 6.25371, 61.0737, 25316.5, 12.3376, 0.130296, 0.0335359, 0.000232888
83, 6.05036, 67.1445, 33309.5, 11.8398, 0.123112, 0.0328485, 0.000228115
84, 5.86992, 57.8695, 24714.7, 12.1778, 0.128121, 0.0341701, 0.000237293
85, 6.31422, 65.2099, 28541.5, 12.0161, 0.126196, 0.0330554, 0.000229551
86, 6.95674, 68.7449, 33497.3, 12.5327, 0.134088, 0.0316126, 0.000219532
87, 6.43444, 60.5788, 32554.5, 11.9106, 0.123811, 0.0324124, 0.000225086
88, 5.98956, 53.4496, 31324.1, 11.8317, 0.123333, 0.033173, 0.000230368
89, 5.35172, 67.4278, 31507.3, 12.3896, 0.131708, 0.0340681, 0.000236584
90, 6.98655, 57.6518, 33754.2, 11.7501, 0.122074, 0.0315452, 0.000219064
91, 5.86973, 48.6977, 26028.9, 11.8347, 0.124244, 0.034003, 0.000236132
92, 5.5587, 59.2154, 28189.2, 12.2504, 0.129351, 0.0341861, 0.000237403
93, 5.6158, 60.6145, 31712.7, 11.9873, 0.126409, 0.0336575, 0.000233733
94, 4.98494, 61.3122, 25884.2, 12.4698, 0.134471, 0.0353641, 0.000245584
95, 6.30502, 53.4985, 32852.4, 12.5962, 0.134047, 0.0325531, 0.000226063
96, 6.06117, 67.8071, 33471.4, 11.9325, 0.124564, 0.0328142, 0.000227876
97, 6.48887, 58.129, 30136.6, 11.7345, 0.121187, 0.032623, 0.000226549
98, 5.01282, 58.4438, 35567.5, 12.1292, 0.129219, 0.0340502, 0.00023646
99, 6.05406, 62.3492, 27135.5, 12.5901, 0.135028, 0.0335965, 0.000233309
100, 6.0224, 54.1639, 32857.8, 12.6208, 0.134919, 0.0329415, 0.00022876
