Run #, fc, fy, E, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1
70, 5.72356, 62.3308, 29435.8, 11.6025, 0.120528, 0.0337968, 0.0002347
71, 5.91976, 59.197, 30556.6, 12.0773, 0.127441, 0.0333757, 0.000231776
72, 4.96133, 50.1091, 29881.2, 12.4573, 0.133851, 0.034876, 0.000242195
73, 5.89946, 61.4355, 29201.7, 11.8859, 0.123589, 0.0335722, 0.000233139
74, 5.83556, 62.6033, 29223.5, 11.7175, 0.122161, 0.0336614, 0.000233759
75, 6.11173, 57.9298, 33182.1, 12.4738, 0.132576, 0.0327889, 0.000227701
76, 5.6068, 53.9289, 30972.4, 12.3904, 0.132137, 0.0337733, 0.000234537
77, 5.17839, 66.8926, 28410.8, 12.1389, 0.128478, 0.0347385, 0.00024124
78, 5.87947, 62.1415, 30239.5, 11.3392, 0.115792, 0.0334722, 0.000232446
79, 5.63739, 63.7238, 27948.6, 12.0407, 0.127624, 0.034111, 0.000236882
80, 5.58819, 65.3083, 29326.2, 12.39, 0.132577, 0.0340082, 0.000236168
81, 5.95574, 51.3406, 28290.9, 12.3849, 0.131063, 0.0336044, 0.000233365
82, 5.67429, 59.4138, 29660.2, 12.0783, 0.127548, 0.0338402, 0.000235001
83, 6.11666, 63.4287, 30200.1, 12.2987, 0.130864, 0.0331412, 0.000230147
84, 4.95512, 62.5758, 26045.2, 12.2133, 0.129997, 0.0354, 0.000245835
85, 5.93051, 64.2589, 32087, 12.1793, 0.129184, 0.0331734, 0.00023037
86, 6.06499, 61.6017, 29981.2, 11.8844, 0.12354, 0.0332406, 0.000230837
87, 5.3089, 65.0806, 31164.1, 11.9069, 0.125174, 0.0341855, 0.0002374
88, 5.67109, 68.5933, 29689.8, 12.4373, 0.132505, 0.0338411, 0.000235008
89, 5.2182, 53.8976, 35014.9, 12.2673, 0.130535, 0.0338299, 0.000234933
90, 6.44383, 63.7876, 31081, 12.5897, 0.133606, 0.0325828, 0.00022627
91, 5.13558, 58.6783, 24268.8, 12.251, 0.130755, 0.0353574, 0.000245541
92, 4.74905, 47.6625, 31425.7, 12.2108, 0.13013, 0.0349972, 0.000243028
93, 6.21693, 66.9064, 31495.5, 12.5228, 0.133579, 0.0328452, 0.000228092
94, 6.34445, 44.988, 30546.2, 12.2617, 0.130285, 0.0327825, 0.000227659
95, 7.11512, 59.0433, 29355.8, 12.3343, 0.131025, 0.0318839, 0.000221416
96, 5.53703, 53.2611, 28542.4, 12.4598, 0.133591, 0.0341833, 0.000237386
97, 6.98079, 57.6174, 31445.6, 12.1886, 0.128653, 0.0318227, 0.000220991
98, 5.73079, 59.8036, 28204.5, 11.6183, 0.120422, 0.0339414, 0.000235704
99, 6.25441, 64.7141, 33770, 12.2931, 0.130374, 0.0325238, 0.00022586
100, 5.4687, 56.4726, 33150.6, 12.5652, 0.134962, 0.0337006, 0.000234032
101, 5.71895, 55.5088, 32791, 12.5895, 0.134717, 0.0333864, 0.00023185
102, 6.62537, 53.3107, 31055.4, 12.6068, 0.136171, 0.0323397, 0.000224582
103, 5.77313, 58.2108, 29892.5, 12.242, 0.129376, 0.0336679, 0.000233805
104, 5.25086, 62.7383, 30271.6, 12.4478, 0.133226, 0.0343867, 0.000238797
105, 5.66782, 64.6142, 31684.5, 12.316, 0.13086, 0.0335964, 0.000233308
106, 5.92852, 65.7166, 34971.9, 12.4407, 0.132601, 0.0328281, 0.000227973
107, 6.82102, 52.9508, 28631.3, 12.2771, 0.129823, 0.0323589, 0.000224714
108, 6.95916, 56.3989, 31141.9, 12.2381, 0.129649, 0.0318856, 0.000221428
109, 7.1853, 49.4253, 32585.1, 12.2457, 0.129471, 0.0314281, 0.00021826
110, 5.9419, 72.4948, 29495.8, 12.2724, 0.130147, 0.0334748, 0.000232466
111, 6.99459, 63.704, 31071.8, 12.0237, 0.125263, 0.0318469, 0.00022116
112, 5.06547, 69.3559, 32492.3, 12.317, 0.131003, 0.034377, 0.000238729
113, 5.78366, 64.5655, 26154.2, 12.5299, 0.134692, 0.0341241, 0.000236973
114, 5.76754, 53.8396, 29834.5, 12.444, 0.132616, 0.0336832, 0.000233912
115, 6.2387, 50.7513, 29994.2, 12.6479, 0.136314, 0.0329954, 0.000229135
116, 5.86238, 51.1078, 29555.5, 12.4382, 0.132467, 0.0335814, 0.000233205
117, 6.18572, 51.5894, 29842.6, 12.4942, 0.133958, 0.0330877, 0.000229776
118, 6.57331, 56.5721, 25309.1, 12.3411, 0.131235, 0.0330942, 0.000229823
119, 5.20684, 59.6933, 29482.1, 12.5381, 0.135069, 0.0345552, 0.000239968
120, 6.48093, 53.6134, 28922.9, 12.1868, 0.128106, 0.0327881, 0.000227696
121, 5.43164, 59.0196, 23232.6, 12.2398, 0.130274, 0.0350362, 0.00024331
122, 6.26958, 55.9512, 26346, 12.2197, 0.129604, 0.0333963, 0.000231919
123, 5.44866, 65.488, 26436.8, 11.9043, 0.125582, 0.0345876, 0.000240191
124, 5.14058, 56.6187, 33599.4, 12.3477, 0.132087, 0.0341231, 0.000236966
125, 5.62506, 61.1289, 27850, 11.7823, 0.123464, 0.0341418, 0.000237096
126, 6.43012, 57.1252, 26815.1, 12.2099, 0.129358, 0.0331123, 0.000229947
127, 6.34872, 53.2331, 27758.9, 12.2915, 0.13006, 0.0331119, 0.000229944
128, 6.5665, 61.5023, 33609.5, 12.1831, 0.128189, 0.0321225, 0.000223071
129, 6.90372, 50.2507, 27240.7, 12.214, 0.129049, 0.0324097, 0.000225065
130, 7.44226, 67.258, 29050.8, 12.3848, 0.131559, 0.0314922, 0.000218698
131, 5.00649, 61.7807, 26681.1, 12.216, 0.129956, 0.0352335, 0.000244679
132, 6.39257, 70.8792, 29700.1, 12.2712, 0.130285, 0.0328172, 0.000227898
133, 5.94816, 60.4992, 29930.1, 11.9171, 0.123762, 0.0334124, 0.00023203
134, 6.21356, 56.8236, 25556.7, 12.1945, 0.129273, 0.0335738, 0.000233153
135, 5.95788, 60.58, 27006.6, 12.0979, 0.128075, 0.0337617, 0.000234456
136, 4.86739, 58.3601, 34273.8, 12.0483, 0.127394, 0.0344429, 0.000239188
137, 6.11317, 65.055, 31599.4, 12.6577, 0.135933, 0.0329768, 0.000229005
138, 6.38976, 67.7024, 35262.1, 12.3744, 0.131359, 0.0321674, 0.000223386
139, 6.39374, 50.9141, 28764.5, 12.55, 0.13397, 0.0329277, 0.000228665
140, 6.73881, 71.1455, 25958.1, 12.2583, 0.129845, 0.0327867, 0.000227681
141, 5.88825, 54.0871, 29386.6, 12.199, 0.128628, 0.0335652, 0.000233092
142, 6.45216, 56.2019, 29619.8, 12.0124, 0.125761, 0.0327446, 0.000227394
143, 5.90969, 53.0667, 28038.3, 12.3642, 0.130998, 0.0337023, 0.000234044
144, 6.45109, 62.4197, 26361.6, 11.8902, 0.124266, 0.033138, 0.000230123
145, 5.58012, 56.5044, 29132.2, 11.8535, 0.124628, 0.0340446, 0.000236422
146, 5.96576, 68.2666, 29903.2, 12.3324, 0.131528, 0.0333907, 0.00023188
147, 5.96811, 72.1953, 25768.1, 12.2779, 0.130397, 0.0339022, 0.000235438
148, 5.57891, 58.6265, 30461.5, 12.5313, 0.134942, 0.0338781, 0.000235265
149, 5.74695, 57.8, 27361.8, 11.7308, 0.123124, 0.0340245, 0.000236281
150, 6.62076, 67.166, 31180.1, 12.3192, 0.130838, 0.0323314, 0.000224524
151, 6.10713, 60.0321, 29167.3, 12.6987, 0.134795, 0.0332805, 0.000231115
152, 6.94497, 55.3757, 28806.2, 12.2504, 0.129642, 0.0321723, 0.000223419
153, 4.82854, 61.8179, 27514.2, 12.2143, 0.130066, 0.0353995, 0.000245832
154, 6.19991, 71.6375, 31190.4, 12.2215, 0.129378, 0.0329054, 0.00022851
155, 5.62239, 54.0543, 33206.8, 12.5095, 0.133751, 0.0334728, 0.00023245
156, 6.31069, 58.5721, 30528.7, 12.2201, 0.129361, 0.0328312, 0.000227995
157, 5.90173, 57.4295, 30878, 12.045, 0.127887, 0.0333618, 0.000231679
158, 6.06258, 60.5542, 27672.1, 11.881, 0.124496, 0.033528, 0.000232833
159, 5.40018, 63.656, 28363.3, 12.0333, 0.12736, 0.0344101, 0.000238959
160, 5.37857, 52.7878, 36288.5, 12.3474, 0.131612, 0.0334404, 0.00023223
161, 4.33217, 73.6515, 29266.1, 12.1604, 0.12936, 0.0359528, 0.000249625
162, 6.29009, 57.5858, 30488.5, 12.2314, 0.129566, 0.0328645, 0.000228226
163, 6.93748, 71.3356, 29362, 12.2453, 0.12942, 0.032118, 0.000223043
164, 5.78847, 56.1454, 35542.6, 12.3736, 0.131768, 0.0329538, 0.000228847
165, 5.57142, 64.7887, 30351.2, 12.3151, 0.131214, 0.033903, 0.000235438
166, 5.8445, 65.4473, 24698.7, 12.3862, 0.13226, 0.0342203, 0.00023764
167, 6.91226, 63.1035, 33414.1, 12.3062, 0.130205, 0.0316896, 0.000220063
168, 6.63748, 63.7667, 34368.4, 12.3233, 0.130542, 0.0319413, 0.000221813
169, 5.71026, 56.2334, 27628.4, 11.85, 0.125349, 0.0340445, 0.00023642
170, 6, 63.739, 28087.7, 12.3342, 0.131996, 0.0335662, 0.000233098
171, 6.986, 49.0638, 26974.7, 12.1981, 0.12898, 0.0323296, 0.000224508
172, 5.62387, 63.8414, 28773.2, 11.9971, 0.126959, 0.034026, 0.000236291
173, 6.59092, 58.5779, 25228.2, 12.3936, 0.131836, 0.0330794, 0.000229719
174, 5.44762, 70.0935, 31271.1, 12.3793, 0.131311, 0.0339678, 0.000235887
175, 5.23476, 54.7798, 29393.1, 12.4979, 0.134729, 0.0345248, 0.000239757
176, 6.36884, 69.2533, 31519, 12.2628, 0.129884, 0.0326335, 0.000226622
177, 5.74346, 65.0332, 31049.3, 12.4793, 0.133294, 0.0335667, 0.000233102
178, 6.81948, 56.9498, 27858.4, 12.314, 0.131037, 0.0324514, 0.000225357
179, 6.29296, 55.2663, 31642.4, 12.3796, 0.13215, 0.0327228, 0.000227242
180, 6.1593, 54.8582, 28996.9, 11.7415, 0.122416, 0.0332276, 0.000230748
181, 6.04366, 57.6428, 30403.4, 12.3252, 0.131713, 0.0332191, 0.000230688
182, 5.9064, 54.9647, 30419.2, 11.9846, 0.126571, 0.0334116, 0.000232025
183, 5.58219, 60.0072, 25002.4, 12.1533, 0.12853, 0.0345732, 0.000240092
184, 6.84353, 56.3241, 28687.1, 12.2507, 0.129784, 0.0323221, 0.000224459
185, 6.33985, 62.371, 29808.7, 12.533, 0.1331, 0.0328771, 0.000228313
186, 6.04565, 67.0542, 33701.6, 12.3242, 0.130984, 0.0328182, 0.000227904
187, 5.6541, 59.5288, 32834.1, 12.4065, 0.132908, 0.0334735, 0.000232455
188, 5.99501, 62.7464, 30033, 11.5699, 0.119726, 0.0333333, 0.00023148
189, 5.01826, 67.1836, 31612.3, 12.405, 0.131651, 0.0345619, 0.000240014
190, 6.06867, 53.9725, 30365.1, 12.0238, 0.127391, 0.0331885, 0.000230476
191, 6.37496, 56.0423, 32523.7, 12.3421, 0.131128, 0.0325066, 0.00022574
192, 5.18848, 47.8552, 28719, 12.2345, 0.130371, 0.0346825, 0.000240857
193, 5.49206, 61.0188, 27058.4, 12.0275, 0.1271, 0.0344415, 0.000239177
194, 6.095, 58.3453, 29489.3, 12.6753, 0.135575, 0.0332583, 0.00023096
195, 6.59424, 60.3603, 28995.7, 12.0552, 0.126542, 0.0326239, 0.000226555
196, 6.24771, 57.2027, 28210.8, 12.2172, 0.129673, 0.0331989, 0.000230548
197, 6.42679, 50.4883, 28739.7, 12.5309, 0.133764, 0.0328849, 0.000228367
198, 6.81533, 64.6378, 32854.9, 12.3483, 0.130985, 0.0318796, 0.000221385
199, 5.22463, 60.7107, 33334.8, 12.5327, 0.134634, 0.034033, 0.00023634
200, 4.93493, 54.57, 31717.9, 12.3201, 0.131718, 0.0346743, 0.000240791
201, 5.57259, 74.5403, 32053.9, 12.2871, 0.130464, 0.0336878, 0.000233941
202, 5.45749, 58.5155, 29731.6, 12.4969, 0.134842, 0.034149, 0.000237146
203, 6.03122, 67.7811, 29709.3, 12.34, 0.131834, 0.0333216, 0.0002314
204, 7.6954, 64.7225, 31429.6, 12.2387, 0.129006, 0.0309095, 0.000214654
205, 6.14462, 67.0429, 28553.3, 12.3412, 0.132211, 0.0333027, 0.000231268
206, 6.5933, 68.0203, 26628.4, 12.3099, 0.130728, 0.0329075, 0.000228521
207, 5.84135, 53.5311, 32004.8, 12.4942, 0.133569, 0.0333092, 0.000231314
208, 6.0344, 59.8926, 28843, 12.5263, 0.132484, 0.0334236, 0.000232108
209, 6.64775, 64.5025, 31815.9, 12.316, 0.130157, 0.0322212, 0.000223759
210, 5.52033, 56.1903, 29278.4, 12.0393, 0.127577, 0.034114, 0.000236904
211, 6.53453, 68.4019, 30897.8, 12.278, 0.130249, 0.032481, 0.000225562
212, 6.22489, 58.6901, 31920.5, 12.4714, 0.134168, 0.0327834, 0.000227663
213, 5.40748, 51.6784, 33427.8, 12.3129, 0.131168, 0.0337544, 0.000234405
214, 6.6994, 59.3814, 34758.3, 12.3222, 0.130464, 0.0318155, 0.000220938
215, 5.88341, 71.7983, 27517.8, 12.2903, 0.130407, 0.0338054, 0.000234763
216, 6.86911, 51.018, 36058.1, 12.3447, 0.130931, 0.0314473, 0.000218395
217, 6.8751, 60.5271, 30220.8, 12.2682, 0.129848, 0.0321022, 0.000222933
218, 6.54343, 59.982, 30537.2, 11.9305, 0.123925, 0.0325113, 0.000225773
219, 5.67941, 67.4956, 31927.6, 12.5362, 0.133516, 0.0335496, 0.000232983
220, 6.75186, 54.7225, 29043.4, 12.1483, 0.127949, 0.0324041, 0.000225029
221, 6.41895, 61.4007, 28796.9, 12.1284, 0.127216, 0.0328889, 0.000228395
222, 5.89133, 61.6903, 32630.8, 11.9522, 0.125154, 0.0331623, 0.000230293
223, 5.88352, 42.0755, 34388.7, 12.271, 0.130415, 0.032961, 0.00022889
224, 5.96454, 55.4294, 31785, 12.3798, 0.132609, 0.0331622, 0.000230293
225, 6.22879, 58.3275, 28475.3, 12.4316, 0.1326, 0.0331933, 0.000230509
226, 6.96716, 65.1124, 27052, 12.2751, 0.130073, 0.0323464, 0.000224623
227, 5.95682, 57.7249, 27714.5, 11.7188, 0.122325, 0.0336747, 0.000233852
228, 6.18788, 59.9678, 25147.2, 12.2007, 0.129249, 0.0336617, 0.000233762
229, 6.2678, 66.946, 27328.5, 12.4126, 0.13239, 0.0332784, 0.000231099
230, 5.95476, 58.1672, 30212.6, 12.3395, 0.131289, 0.0333683, 0.000231724
231, 5.45775, 48.7588, 28458.8, 12.241, 0.13031, 0.0343116, 0.00023828
232, 6.58032, 63.8807, 30795.8, 12.264, 0.128941, 0.0324309, 0.000225215
233, 5.79945, 68.7467, 31441.5, 12.3517, 0.131553, 0.0334381, 0.000232209
234, 6.61183, 62.1995, 25422.2, 12.1902, 0.128755, 0.0330269, 0.000229351
235, 6.35571, 59.9437, 24854.6, 12.1759, 0.128767, 0.0334574, 0.000232343
236, 6.82554, 61.0374, 30067.8, 12.2402, 0.12942, 0.0321859, 0.000223514
237, 6.6271, 66.0597, 28625.6, 12.1267, 0.12805, 0.0326228, 0.000226546
238, 5.96271, 66.0698, 28388.8, 12.3065, 0.131618, 0.0335823, 0.00023321
239, 5.92666, 57.6355, 29398.3, 12.3144, 0.130041, 0.0335088, 0.0002327
240, 5.80825, 75.3214, 30966.5, 12.277, 0.130238, 0.0334841, 0.000232528
241, 6.07795, 60.1868, 34645.7, 12.0665, 0.126302, 0.0326612, 0.000226814
242, 6.60182, 58.4675, 33518.2, 12.067, 0.1261, 0.032086, 0.000222818
243, 5.88707, 63.0264, 33376.5, 12.0913, 0.12754, 0.0330777, 0.000229706
244, 5.78231, 64.1844, 29232.6, 12.0635, 0.127998, 0.0337372, 0.000234285
245, 6.01629, 64.6826, 34592.3, 12.3837, 0.131641, 0.0327523, 0.000227446
246, 5.66115, 57.2632, 35777.3, 12.3631, 0.131596, 0.0331032, 0.000229885
247, 5.1018, 78.1759, 30628.1, 12.2273, 0.129814, 0.034566, 0.000240016
248, 5.71159, 66.6542, 27944.1, 12.2388, 0.130084, 0.0340025, 0.000236128
249, 6.01065, 63.3837, 31285.9, 12.2323, 0.129298, 0.0331581, 0.000230264
250, 5.87187, 60.4386, 35876.6, 12.3031, 0.130342, 0.0327982, 0.000227765
251, 6.44178, 61.7299, 26703.9, 11.7729, 0.122613, 0.0331095, 0.000229926
252, 5.81713, 63.402, 28726.6, 12.0106, 0.127006, 0.0337501, 0.000234375
253, 6.33694, 63.2456, 32650.8, 12.3333, 0.131291, 0.0325433, 0.000225995
254, 6.25074, 50.8656, 27200.7, 12.04, 0.127152, 0.0333181, 0.000231376
255, 5.76092, 62.7136, 27803.5, 12.1869, 0.129643, 0.0339481, 0.00023575
256, 5.2927, 59.267, 32959.5, 12.703, 0.13745, 0.0339807, 0.000235977
257, 7.13407, 66.1437, 31535.1, 12.2088, 0.128394, 0.0316126, 0.000219532
258, 5.41225, 61.413, 25106.6, 12.2393, 0.130248, 0.0348174, 0.000241788
259, 5.8027, 56.3909, 30603.6, 12.0309, 0.127235, 0.0335369, 0.000232895
260, 6.27239, 52.7201, 33337.2, 12.3878, 0.132575, 0.0325503, 0.000226044
261, 5.64211, 50.0482, 34076, 12.3218, 0.131292, 0.0333377, 0.000231511
262, 5.31861, 66.1029, 26128.4, 11.85, 0.124807, 0.0348255, 0.000241844
263, 6.23317, 57.8053, 25062, 12.2048, 0.129384, 0.0336071, 0.000233384
264, 6.37801, 54.1614, 28701.8, 12.1414, 0.127685, 0.0329571, 0.000228869
265, 6.01377, 60.0577, 32240.9, 12.0979, 0.127429, 0.0330379, 0.00022943
266, 5.07508, 58.8902, 22219.8, 12.2325, 0.130618, 0.035733, 0.000248156
267, 5.541, 61.1417, 23434.9, 12.2436, 0.130144, 0.0348415, 0.000241956
268, 5.41639, 64.3611, 26234.1, 12.0362, 0.127413, 0.0346629, 0.000240715
269, 6.08036, 63.6643, 30312.1, 12.222, 0.129608, 0.0331786, 0.000230406
270, 7.25598, 55.1241, 31999.3, 12.0198, 0.126139, 0.0314037, 0.000218081
271, 7.1995, 58.2441, 33033.8, 12.2174, 0.128925, 0.0313615, 0.000217783
272, 5.65751, 60.6434, 31002.9, 11.8426, 0.123792, 0.0336962, 0.000234001
273, 6.5033, 57.8896, 28018.4, 12.3076, 0.130965, 0.0328653, 0.000228232
274, 5.63013, 47.9551, 28030.2, 12.2403, 0.130225, 0.0341111, 0.000236887
275, 6.17989, 63.5763, 34248.6, 12.2234, 0.129011, 0.0325689, 0.000226173
276, 5.03586, 63.5411, 29090.6, 12.2644, 0.130521, 0.0348663, 0.000242129
277, 5.18516, 69.8265, 34048.6, 12.3159, 0.131077, 0.0340006, 0.000236114
278, 6.30674, 54.7607, 26302.3, 12.2585, 0.130154, 0.0333488, 0.00023159
279, 4.87738, 58.7325, 29213.8, 12.2711, 0.130987, 0.0350941, 0.00024371
280, 6.32385, 57.4474, 26101.7, 12.127, 0.128046, 0.0333492, 0.000231593
281, 6.4034, 62.781, 32737.2, 12.3163, 0.13077, 0.0324429, 0.000225298
282, 6.98709, 47.4508, 31466.3, 12.2507, 0.129687, 0.0318111, 0.000220917
283, 6.19624, 61.9939, 27734.3, 12.0217, 0.127393, 0.0333299, 0.000231457
284, 5.61947, 60.6146, 23569.5, 12.2259, 0.129548, 0.0347043, 0.000241003
285, 6.32549, 69.4963, 36899.3, 12.399, 0.131695, 0.032064, 0.000222676
286, 4.96966, 53.7472, 31340.9, 12.3943, 0.13291, 0.034671, 0.000240769
287, 5.92086, 70.0072, 27477.2, 12.3253, 0.130899, 0.0337563, 0.00023442
288, 4.60626, 60.5205, 22651.2, 12.1932, 0.130246, 0.0364345, 0.000253029
289, 4.89216, 64.2122, 31017, 12.321, 0.131114, 0.0348315, 0.000241886
290, 6.26398, 63.1786, 28091.8, 12.1727, 0.129663, 0.0331906, 0.000230489
291, 5.38673, 63.9924, 27317.6, 12.0626, 0.127702, 0.0345661, 0.000240043
292, 5.75018, 65.7684, 29533, 12.5549, 0.135205, 0.0337461, 0.000234347
293, 5.6762, 72.425, 32340.3, 12.2994, 0.130632, 0.0335032, 0.000232661
294, 5.59315, 59.8659, 27789.3, 11.5994, 0.12055, 0.0341967, 0.000237477
295, 6.40077, 54.0581, 28929.9, 12.1249, 0.127396, 0.0328981, 0.000228459
296, 6.46375, 57.4737, 32259.1, 12.1328, 0.127619, 0.0324172, 0.00022512
297, 7.00777, 67.3837, 31307.6, 12.3754, 0.131448, 0.0318028, 0.000220853
298, 6.67245, 55.3564, 24604.6, 12.3112, 0.130793, 0.0330407, 0.000229453
299, 5.27223, 53.8688, 33880.5, 12.2975, 0.13102, 0.0338942, 0.000235376
300, 5.98434, 46.6725, 32664.5, 12.3243, 0.131094, 0.0330281, 0.00022936
301, 5.40117, 56.7509, 27448.4, 12.2563, 0.130632, 0.0345273, 0.000239774
302, 6.73258, 56.8899, 27569.5, 12.3035, 0.130899, 0.0326036, 0.000226414
303, 7.21204, 59.9336, 30814.2, 12.2282, 0.129001, 0.0315926, 0.000219394
304, 5.9111, 56.7183, 33978.2, 12.4595, 0.132673, 0.0329715, 0.000228969
305, 5.90862, 52.3663, 26500.3, 12.2098, 0.129749, 0.0338969, 0.000235395
