# Force bins  
# bins        : 3
# start       : 4.263142e-03
# end         : 5.000496e-01
# delta       : 1.652621e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695253e-01	3.347874e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0.025         	(8.315629e-05 -8.044630e-05 -8.203528e-01)	(8.304315e-05 -8.040120e-05 -8.203392e-01)	(1.131358e-07 -4.509107e-08 -1.355071e-05)	(7.810134e-05 -1.164506e-04 7.194492e-03)	(3.758064e-05 -1.242475e-04 8.556168e-03)	(4.052070e-05 7.796819e-06 -1.361676e-03)	(2.724875e-05 -3.107495e-07 3.847471e-02)	(2.768261e-06 3.328936e-08 3.866264e-02)	(2.448049e-05 -3.440389e-07 -1.879274e-04)
0.03          	(-5.269475e-05 1.541293e-04 -8.203603e-01)	(-5.275846e-05 1.540605e-04 -8.203411e-01)	(6.371200e-08 6.881571e-08 -1.915192e-05)	(-1.417066e-04 7.911032e-05 7.308109e-03)	(-1.534511e-04 5.830884e-05 8.258366e-03)	(1.174455e-05 2.080147e-05 -9.502568e-04)	(2.690569e-05 2.496065e-06 3.847393e-02)	(1.121148e-06 1.128416e-06 3.866153e-02)	(2.578454e-05 1.367649e-06 -1.875989e-04)
0.03          	(-5.269475e-05 1.541293e-04 -8.203603e-01)	(-5.275846e-05 1.540605e-04 -8.203411e-01)	(6.371200e-08 6.881571e-08 -1.915192e-05)	(-1.417066e-04 7.911032e-05 7.308109e-03)	(-1.534511e-04 5.830884e-05 8.258366e-03)	(1.174455e-05 2.080147e-05 -9.502568e-04)	(2.690569e-05 2.496065e-06 3.847393e-02)	(1.121148e-06 1.128416e-06 3.866153e-02)	(2.578454e-05 1.367649e-06 -1.875989e-04)
0.035         	(6.805012e-05 -1.124694e-04 -8.203541e-01)	(6.797711e-05 -1.124583e-04 -8.203325e-01)	(7.300664e-08 -1.101810e-08 -2.154947e-05)	(-1.002964e-04 1.880495e-05 6.388041e-03)	(-6.837282e-05 -7.951673e-06 8.819701e-03)	(-3.192360e-05 2.675663e-05 -2.431660e-03)	(4.295955e-05 9.619604e-07 3.845969e-02)	(5.718492e-06 -1.848409e-07 3.866287e-02)	(3.724106e-05 1.146801e-06 -2.031809e-04)
0.035         	(6.805012e-05 -1.124694e-04 -8.203541e-01)	(6.797711e-05 -1.124583e-04 -8.203325e-01)	(7.300664e-08 -1.101810e-08 -2.154947e-05)	(-1.002964e-04 1.880495e-05 6.388041e-03)	(-6.837282e-05 -7.951673e-06 8.819701e-03)	(-3.192360e-05 2.675663e-05 -2.431660e-03)	(4.295955e-05 9.619604e-07 3.845969e-02)	(5.718492e-06 -1.848409e-07 3.866287e-02)	(3.724106e-05 1.146801e-06 -2.031809e-04)
0.04          	(1.511519e-05 2.139935e-05 -8.203520e-01)	(1.508677e-05 2.133098e-05 -8.203348e-01)	(2.841830e-08 6.836790e-08 -1.719490e-05)	(1.451237e-05 -1.444448e-04 5.467170e-03)	(2.859141e-05 -1.630040e-04 8.671485e-03)	(-1.407904e-05 1.855929e-05 -3.204315e-03)	(4.760310e-05 2.603416e-06 3.848835e-02)	(3.859245e-06 5.795522e-07 3.866394e-02)	(4.374385e-05 2.023864e-06 -1.755907e-04)
0.04          	(1.511519e-05 2.139935e-05 -8.203520e-01)	(1.508677e-05 2.133098e-05 -8.203348e-01)	(2.841830e-08 6.836790e-08 -1.719490e-05)	(1.451237e-05 -1.444448e-04 5.467170e-03)	(2.859141e-05 -1.630040e-04 8.671485e-03)	(-1.407904e-05 1.855929e-05 -3.204315e-03)	(4.760310e-05 2.603416e-06 3.848835e-02)	(3.859245e-06 5.795522e-07 3.866394e-02)	(4.374385e-05 2.023864e-06 -1.755907e-04)
0.045         	(7.846329e-05 9.256670e-05 -8.203512e-01)	(7.841037e-05 9.248578e-05 -8.203406e-01)	(5.291844e-08 8.092041e-08 -1.064995e-05)	(4.917370e-05 -1.061119e-04 5.628055e-03)	(4.930261e-05 -1.032000e-04 8.512104e-03)	(-1.289004e-07 -2.911904e-06 -2.884049e-03)	(4.631343e-05 -1.300890e-05 3.852182e-02)	(1.476996e-06 -6.065584e-06 3.866693e-02)	(4.483644e-05 -6.943317e-06 -1.451069e-04)
0.045         	(7.846329e-05 9.256670e-05 -8.203512e-01)	(7.841037e-05 9.248578e-05 -8.203406e-01)	(5.291844e-08 8.092041e-08 -1.064995e-05)	(4.917370e-05 -1.061119e-04 5.628055e-03)	(4.930261e-05 -1.032000e-04 8.512104e-03)	(-1.289004e-07 -2.911904e-06 -2.884049e-03)	(4.631343e-05 -1.300890e-05 3.852182e-02)	(1.476996e-06 -6.065584e-06 3.866693e-02)	(4.483644e-05 -6.943317e-06 -1.451069e-04)
0.05          	(-1.251661e-04 1.835325e-05 -8.203522e-01)	(-1.252160e-04 1.830617e-05 -8.203430e-01)	(4.984116e-08 4.708170e-08 -9.142142e-06)	(-1.592794e-04 -5.276295e-05 6.919269e-03)	(-1.658900e-04 -3.687631e-05 8.145711e-03)	(6.610561e-06 -1.588664e-05 -1.226442e-03)	(5.307439e-05 7.487219e-06 3.855552e-02)	(3.292645e-06 5.768449e-06 3.866545e-02)	(4.978174e-05 1.718769e-06 -1.099329e-04)
