# Moment bins 
# bins        : 3
# start       : 4.262203e-03
# end         : 5.000496e-01
# delta       : 1.652625e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695247e-01	3.347871e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0.0125        	(-7.719146e-06 -1.676484e-05 4.100914e-09)	(-7.717905e-06 -1.675325e-05 1.528293e-09)	(-1.240834e-09 -1.158214e-08 2.572621e-09)	(-8.332496e-07 2.831897e-07 1.956631e-08)	(-9.712878e-07 -5.588703e-07 -3.429104e-09)	(1.380381e-07 8.420600e-07 2.299541e-08)	(2.021428e-07 2.910042e-06 1.793908e-08)	(1.875226e-07 5.018318e-07 5.343592e-10)	(1.462017e-08 2.408211e-06 1.740472e-08)
0.015         	(4.679801e-06 -1.988682e-05 -2.284699e-08)	(4.677655e-06 -1.987802e-05 -1.726805e-08)	(2.146127e-09 -8.804523e-09 -5.578933e-09)	(4.178417e-07 -1.114262e-06 -5.921246e-08)	(6.055390e-07 -1.524238e-06 -1.451542e-08)	(-1.876973e-07 4.099762e-07 -4.469703e-08)	(-2.149208e-07 3.115961e-06 -3.401913e-08)	(-1.092985e-07 3.530544e-07 -2.040161e-10)	(-1.056223e-07 2.762907e-06 -3.381512e-08)
0.015         	(4.679801e-06 -1.988682e-05 -2.284699e-08)	(4.677655e-06 -1.987802e-05 -1.726805e-08)	(2.146127e-09 -8.804523e-09 -5.578933e-09)	(4.178417e-07 -1.114262e-06 -5.921246e-08)	(6.055390e-07 -1.524238e-06 -1.451542e-08)	(-1.876973e-07 4.099762e-07 -4.469703e-08)	(-2.149208e-07 3.115961e-06 -3.401913e-08)	(-1.092985e-07 3.530544e-07 -2.040161e-10)	(-1.056223e-07 2.762907e-06 -3.381512e-08)
0.0175        	(-6.777820e-06 -1.637180e-05 1.373128e-08)	(-6.775582e-06 -1.636539e-05 1.330993e-08)	(-2.238604e-09 -6.412478e-09 4.213452e-10)	(-2.496795e-07 1.222249e-06 -3.086286e-08)	(-3.715912e-07 3.870295e-07 3.381659e-08)	(1.219116e-07 8.352194e-07 -6.467944e-08)	(1.455788e-07 4.091490e-06 6.030704e-09)	(1.169467e-07 6.107646e-07 1.460268e-10)	(2.863206e-08 3.480725e-06 5.884677e-09)
0.0175        	(-6.777820e-06 -1.637180e-05 1.373128e-08)	(-6.775582e-06 -1.636539e-05 1.330993e-08)	(-2.238604e-09 -6.412478e-09 4.213452e-10)	(-2.496795e-07 1.222249e-06 -3.086286e-08)	(-3.715912e-07 3.870295e-07 3.381659e-08)	(1.219116e-07 8.352194e-07 -6.467944e-08)	(1.455788e-07 4.091490e-06 6.030704e-09)	(1.169467e-07 6.107646e-07 1.460268e-10)	(2.863206e-08 3.480725e-06 5.884677e-09)
0.02          	(6.942525e-06 -2.539638e-05 -1.525509e-08)	(6.940028e-06 -2.538723e-05 -1.195872e-08)	(2.497005e-09 -9.154296e-09 -3.296372e-09)	(6.016300e-07 -1.228030e-06 1.627303e-08)	(5.540210e-07 -2.070425e-06 -3.188356e-08)	(4.760899e-08 8.423957e-07 4.815659e-08)	(1.001255e-07 4.089165e-06 -1.903556e-08)	(3.893312e-08 3.203888e-07 -1.770553e-10)	(6.119239e-08 3.768776e-06 -1.885851e-08)
0.02          	(6.942525e-06 -2.539638e-05 -1.525509e-08)	(6.940028e-06 -2.538723e-05 -1.195872e-08)	(2.497005e-09 -9.154296e-09 -3.296372e-09)	(6.016300e-07 -1.228030e-06 1.627303e-08)	(5.540210e-07 -2.070425e-06 -3.188356e-08)	(4.760899e-08 8.423957e-07 4.815659e-08)	(1.001255e-07 4.089165e-06 -1.903556e-08)	(3.893312e-08 3.203888e-07 -1.770553e-10)	(6.119239e-08 3.768776e-06 -1.885851e-08)
0.0225        	(-8.509965e-06 -1.928293e-05 1.448228e-08)	(-8.506888e-06 -1.927384e-05 1.238944e-08)	(-3.077101e-09 -9.095576e-09 2.092832e-09)	(-9.212788e-07 7.232072e-07 3.930618e-08)	(-9.450640e-07 -2.695714e-07 7.249360e-09)	(2.378515e-08 9.927785e-07 3.205682e-08)	(-7.009062e-08 4.965818e-06 2.655208e-08)	(-6.283987e-08 5.749227e-07 6.346851e-11)	(-7.250751e-09 4.390895e-06 2.648861e-08)
0.0225        	(-8.509965e-06 -1.928293e-05 1.448228e-08)	(-8.506888e-06 -1.927384e-05 1.238944e-08)	(-3.077101e-09 -9.095576e-09 2.092832e-09)	(-9.212788e-07 7.232072e-07 3.930618e-08)	(-9.450640e-07 -2.695714e-07 7.249360e-09)	(2.378515e-08 9.927785e-07 3.205682e-08)	(-7.009062e-08 4.965818e-06 2.655208e-08)	(-6.283987e-08 5.749227e-07 6.346851e-11)	(-7.250751e-09 4.390895e-06 2.648861e-08)
0.025         	(1.022084e-05 -2.587053e-05 -1.727196e-08)	(1.021762e-05 -2.585904e-05 -1.361407e-08)	(3.227587e-09 -1.148326e-08 -3.657888e-09)	(8.840071e-07 -2.868000e-07 -1.735678e-09)	(8.677998e-07 -1.246092e-06 -9.532398e-09)	(1.620731e-08 9.592921e-07 7.796720e-09)	(-1.516673e-08 5.288647e-06 -2.733663e-08)	(-3.986559e-09 4.571384e-07 -5.130515e-11)	(-1.118017e-08 4.831509e-06 -2.728533e-08)
