Run #, bx, kx, w, fx, ky, fy, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1, 1-PFA-2-1, 1-RMSA-2-1, 1-PFD-2-1, 1-PID-2-1, 1-PFA-3-1, 1-RMSA-3-1, 1-PFD-3-1, 1-PID-3-1, 1-PFA-4-1, 1-RMSA-4-1, 1-PFD-4-1, 1-PID-4-1, 1-PFA-5-1, 1-RMSA-5-1, 1-PFD-5-1, 1-PID-5-1, 1-PFA-6-1, 1-RMSA-6-1, 1-PFD-6-1, 1-PID-6-1, 1-PFA-7-1, 1-RMSA-7-1, 1-PFD-7-1, 1-PID-7-1, 1-PFA-8-1, 1-RMSA-8-1, 1-PFD-8-1, 1-PID-8-1, 1-PFA-9-1, 1-RMSA-9-1, 1-PFD-9-1, 1-PID-9-1
262, 0.179621, 95.1142, 997.092, 6.12307, 105.998, 13.6168, 3.00951, 0.245102, 0.361643, 0.00251141, 0.647337, 0.262883, 0.410268, 0.000367452, 0.661243, 0.245659, 0.449227, 0.000305667, 0.509831, 0.206617, 0.47914, 0.000275741, 0.465191, 0.181704, 0.498019, 0.000272122, 0.558534, 0.175629, 0.514904, 0.000259687, 0.570105, 0.189365, 0.522177, 0.000288949, 0.662601, 0.229882, 0.522566, 0.000247117, 0.767843, 0.289901, 0.539742, 0.000144517
263, 0.213853, 101.778, 915.643, 5.86895, 116.961, 15.5062, 3.07869, 0.249852, 0.291724, 0.00202586, 0.550105, 0.186391, 0.314625, 0.000226666, 0.506894, 0.182615, 0.332443, 0.000229998, 0.640976, 0.214074, 0.352513, 0.000202344, 0.484835, 0.166017, 0.362024, 0.000196495, 0.51616, 0.193347, 0.368437, 0.000181072, 0.526245, 0.201558, 0.378028, 0.000154322, 0.388182, 0.158123, 0.387704, 0.000161161, 0.70558, 0.250496, 0.389638, 0.00011457
264, 0.176862, 96.2429, 932.197, 5.65118, 114.444, 14.5005, 3.16069, 0.318564, 0.496904, 0.00345072, 0.861574, 0.319932, 0.546168, 0.000373218, 0.73155, 0.272595, 0.577941, 0.000298049, 0.585852, 0.24544, 0.597336, 0.000351675, 0.700701, 0.249497, 0.604444, 0.000313563, 0.68191, 0.244259, 0.620419, 0.000268725, 0.588561, 0.220113, 0.636312, 0.000304294, 0.798999, 0.263259, 0.64386, 0.000265539, 0.974795, 0.34942, 0.647783, 0.000168992
265, 0.269525, 98.8277, 1008.72, 9.61729, 119.279, 14.5626, 2.75324, 0.0487506, 0.0976453, 0.000678092, 0.167612, 0.039386, 0.111663, 0.000115219, 0.154149, 0.0423067, 0.124008, 0.000115852, 0.153699, 0.0440631, 0.136789, 0.000105617, 0.140106, 0.0457362, 0.14695, 9.95615e-05, 0.146016, 0.0472777, 0.156278, 9.01776e-05, 0.15307, 0.0489484, 0.162951, 7.77201e-05, 0.164665, 0.0519308, 0.168271, 6.31811e-05, 0.211178, 0.058465, 0.170701, 3.89726e-05
266, 0.342669, 131.023, 1005.09, 5.10683, 117.177, 14.6718, 2.75558, 0.0855133, 0.142919, 0.000992496, 0.207637, 0.0757268, 0.157569, 0.000128481, 0.26256, 0.0781136, 0.17101, 0.000112779, 0.233783, 0.0789085, 0.1838, 0.000102749, 0.208581, 0.0675166, 0.193037, 9.16015e-05, 0.213822, 0.0733315, 0.19932, 8.37717e-05, 0.21394, 0.0711818, 0.205845, 7.62643e-05, 0.207883, 0.0808202, 0.208672, 6.03756e-05, 0.279172, 0.0953351, 0.211571, 3.87024e-05
267, 0.167071, 102.802, 994.374, 5.42885, 118.892, 11.286, 2.74014, 0.322396, 0.555516, 0.00385775, 0.948281, 0.331823, 0.620665, 0.000510127, 0.776032, 0.293093, 0.654624, 0.000327815, 0.639914, 0.256862, 0.673568, 0.000368662, 0.756341, 0.249624, 0.681837, 0.000358701, 0.710223, 0.245492, 0.695357, 0.000304217, 0.575372, 0.230605, 0.712784, 0.000326624, 0.763355, 0.277967, 0.720325, 0.000286691, 1.04876, 0.364743, 0.722898, 0.000181723
268, 0.251974, 62.1777, 973.223, 9.28609, 100.784, 16.1882, 2.83427, 0.0842918, 0.231983, 0.00161099, 0.268532, 0.0845336, 0.26909, 0.000292961, 0.22762, 0.077291, 0.302249, 0.000270115, 0.217652, 0.0712892, 0.333705, 0.000227869, 0.269709, 0.0865351, 0.359919, 0.000204842, 0.232352, 0.0899094, 0.377955, 0.00017846, 0.229171, 0.0770255, 0.39384, 0.000152348, 0.22433, 0.0785409, 0.409626, 0.000128785, 0.272184, 0.0995737, 0.419238, 7.7034e-05
269, 0.245158, 79.5008, 1075.65, 8.67759, 89.4054, 13.8022, 2.51573, 0.0933378, 0.180984, 0.00125683, 0.270678, 0.0991215, 0.205922, 0.000180245, 0.296527, 0.107353, 0.22611, 0.000170717, 0.28381, 0.108529, 0.241437, 0.000160012, 0.22946, 0.0822915, 0.252077, 0.00013885, 0.185403, 0.0740918, 0.258678, 0.000143646, 0.211293, 0.0817902, 0.261681, 0.000134239, 0.211483, 0.0867322, 0.269853, 0.00011192, 0.316036, 0.118968, 0.274986, 7.7208e-05
270, 0.0956811, 70.1893, 906.681, 8.82735, 124.306, 16.2849, 2.99146, 0.105899, 0.226793, 0.00157495, 0.325869, 0.115416, 0.244863, 0.000197347, 0.341015, 0.121034, 0.260625, 0.000181763, 0.331667, 0.117087, 0.271468, 0.000174601, 0.291973, 0.0908917, 0.275254, 0.000155315, 0.284128, 0.082835, 0.273912, 0.000149758, 0.283042, 0.0869686, 0.275998, 0.000134822, 0.231283, 0.0994118, 0.287324, 0.000120623, 0.346015, 0.132522, 0.293065, 8.04821e-05
271, 0.137093, 57.6315, 1001.53, 4.27932, 91.8179, 16.2265, 3.50742, 0.369227, 0.815335, 0.00566205, 0.822689, 0.240443, 1.02977, 0.00276545, 0.775183, 0.263024, 1.29326, 0.00205984, 0.729726, 0.254294, 1.42746, 0.00175144, 0.609819, 0.258159, 1.51636, 0.000846344, 0.646667, 0.255704, 1.55304, 0.000536567, 0.597723, 0.256569, 1.58096, 0.00046116, 0.62867, 0.279018, 1.62776, 0.000363141, 0.829918, 0.310107, 1.65066, 0.000262884
